#tipo;matricula;telepeaje;espera;tiempo
evento;0;21:40:04 03-05-2020;21:59:59 03-05-2020
auto;AAA;0;60;21:40:14 03-05-2020
auto;BBB;0;60;21:40:24 03-05-2020
auto;CCC;0;60;21:40:44 03-05-2020
auto;DDD;0;60;21:40:45 03-05-2020
auto;EEE;1;10;21:41:04 03-05-2020
auto;FFF;1;10;21:41:24 03-05-2020
auto;GGG;1;10;21:41:34 03-05-2020
auto;HHH;1;10;21:41:40 03-05-2020
auto;III;1;10;21:41:50 03-05-2020
auto;JJJ;1;10;21:41:51 03-05-2020
auto;AAA;0;60;21:42:07 03-05-2020
auto;BBB;0;60;21:42:24 03-05-2020
auto;CCC;0;60;21:42:34 03-05-2020
auto;DDD;0;60;21:42:45 03-05-2020
emergencia;KKK;1;10;21:42:53 03-05-2020
auto;LLL;1;10;21:42:55 03-05-2020
auto;NNN;1;10;21:43:55 03-05-2020
auto;OOO;1;10;21:44:55 03-05-2020
auto;PPP;1;10;21:45:55 03-05-2020
auto;QQQ;0;10;21:46:55 03-05-2020
auto;RRR;0;10;21:47:55 03-05-2020
auto;SSS;0;10;21:48:55 03-05-2020
auto;TTT;0;10;21:49:55 03-05-2020
emergencia;UUU;0;10;21:50:55 03-05-2020
auto;VVV;0;10;21:51:55 03-05-2020
auto;WWW;0;10;21:52:55 03-05-2020
auto;XXX;0;10;21:53:55 03-05-2020
auto;YYY;0;10;21:54:55 03-05-2020
auto;ZZZ;0;10;21:55:55 03-05-2020
